VAR1,Date,Total_Volume,SQRT_AveragePrice,LOG_Large_Bags,LOG_Small_Bags,LOG_Total_Bags,LOG_XLarge_Bags,LOG__4046,LOG__4225,LOG__4770
0,2015-12-27,64236.62,0.5627841315,0.0000163049,0.0006425941,0.0004488132,0,0.0000455827,0.0026566208,0.0000189125
1,2015-12-20,54876.98,0.5690724175,0.0000170463,0.0007026564,0.0004905365,0,0.0000296466,0.0021782591,0.0000229062
2,2015-12-13,118220.22,0.4175849904,0.0000180342,0.0006006756,0.0004203573,0,0.0000349411,0.0053178632,0.0000512467
3,2015-12-06,78992.15,0.477239989,0.000023388,0.0004240845,0.0002999147,0,0.000049771,0.0035099247,0.0000285021
4,2015-11-29,51039.6,0.5467470936,0.0000345661,0.0004471503,0.0003191514,0,0.0000413945,0.0021392424,0.0000297588
5,2015-11-22,55979.78,0.540198988,0.000022283,0.0004897323,0.0003449497,0,0.0000520691,0.0023453981,0.0000171257
6,2015-11-15,83453.76,0.4424133106,0.0000213406,0.0006122192,0.0004293097,0,0.0000601874,0.0035924967,0.000036623
7,2015-11-08,109428.33,0.4383729217,0.0000983271,0.0004681044,0.0003524477,0,0.0000309423,0.0049614145,0.0000314159
8,2015-11-01,99811.42,0.4543189342,0.0000496272,0.0008293066,0.0005876702,0,0.0000449413,0.0042563479,0.0000335129
9,2015-10-25,74338.76,0.4734968725,0.0000986908,0.0006021137,0.0004451526,0,0.0000370383,0.0031584474,0.0000443747
10,2015-10-18,84843.44,0.4919277209,0.0000573151,0.0005884039,0.000423469,0,0.0000406638,0.0036861015,0.0000459729
11,2015-10-11,64489.17,0.5467470936,0.0000450463,0.0007368651,0.0005224377,0,0.0000695569,0.0025700432,0.0000413589
12,2015-10-04,61007.1,0.5564247846,0.0000658771,0.0006258959,0.0004519027,0,0.0000997294,0.0024337373,0.0000398038
13,2015-09-27,106803.39,0.4424133106,0.0000254565,0.0004398772,0.0003114375,0,0.0000529752,0.0048444474,0.0000608046
14,2015-09-20,69759.01,0.5627841315,0.0001360717,0.0006340434,0.000478247,0,0.0000451998,0.0028932926,0.0000591004
15,2015-09-13,76111.27,0.5467470936,0.0001086634,0.0006471912,0.0004792438,0,0.00004334,0.0032041929,0.0000557626
16,2015-09-06,99172.96,0.4882972084,0.000039731,0.0005798177,0.0004123469,0,0.0000386672,0.0043899641,0.000094555
17,2015-08-30,105693.84,0.4734968725,0.000015352,0.0007631936,0.00053187,0,0.0000302942,0.0045990822,0.0001317164
18,2015-08-23,79992.09,0.5659370084,0.0000235297,0.000802526,0.0005614634,0,0.0000322353,0.0033131128,0.0001746522
19,2015-08-16,80043.78,0.5627841315,0.0000254478,0.0007690727,0.0005389116,0,0.0000237273,0.0033487632,0.0001550673
20,2015-08-09,111140.93,0.4919277209,0.0000191549,0.0006808755,0.0004761075,0,0.0000257049,0.0049199065,0.0001448781
21,2015-08-02,75133.1,0.5995253164,0.0000137258,0.0008788728,0.0006113311,0,0.000022421,0.0030258681,0.0002909837
22,2015-07-26,106757.1,0.4882972084,0.0000229334,0.0009753877,0.0006807468,0,0.0000285241,0.0044817095,0.0003795208
23,2015-07-19,96617,0.540198988,0.0000321706,0.000829229,0.000582466,0,0.0000458184,0.0040001521,0.0008784962
24,2015-07-12,124055.31,0.4659204337,0.0000189696,0.0018131352,0.0012603282,0.0000604121,0.0000295573,0.0046151701,0.0016706013
25,2015-07-05,109252.12,0.5690724175,0.0000412242,0.0022137679,0.001542131,0,0.0000382276,0.003540307,0.0023076831
26,2015-06-28,89534.81,0.5752919729,0.0000612526,0.0019638956,0.0013752937,0,0.0000292047,0.0028072032,0.0018293963
27,2015-06-21,104849.39,0.5434829027,0.0000373566,0.0016171205,0.0011285375,0,0.0000353504,0.0037392828,0.0021501749
28,2015-06-14,89631.3,0.5596134914,0.0001153,0.0021153565,0.0014959326,0,0.0000373979,0.0027027142,0.0017174698
29,2015-06-07,122743.06,0.4734968725,0.0000804675,0.0016658272,0.0011749174,0,0.0000288741,0.0048352889,0.0000354685
30,2015-05-31,95123.62,0.5302252258,0.0000801703,0.0017335139,0.0012216169,0,0.0000405543,0.0034365757,0.0000198511
31,2015-05-24,101470.91,0.5166274427,0.0001037383,0.0021465699,0.0015141026,0,0.0000299099,0.0034807361,0.0000230515
32,2015-05-17,109857.47,0.5935597419,0.0000650449,0.0019619323,0.0013750545,0,0.0000505865,0.0039955668,0.0000370393
33,2015-05-10,120427.91,0.540198988,0.0000499629,0.0012346548,0.000867903,0,0.0000624521,0.0049704148,0.000072907
34,2015-05-03,59197.67,0.520060221,0.0000644417,0.0009112266,0.0006486526,0,0.0000404444,0.0022197513,0.0000853076
35,2015-04-26,49585.46,0.5268586824,0.0001226709,0.000901887,0.0006593785,0,0.0000385002,0.0017493604,0.0000351936
36,2015-04-19,49064.73,0.5166274427,0.0001222059,0.0010157999,0.0007379623,0,0.0000340375,0.0016566905,0.0000185159
37,2015-04-12,48364.29,0.4955316351,0.0001164242,0.0012274121,0.0008825017,0,0.0000379998,0.0014826961,8.4431272E-6
38,2015-04-05,47362.13,0.5061894487,0.0001321118,0.0007370809,0.0005536518,0.0001888007,0.0000422866,0.0017364819,0.0000368194
39,2015-03-29,67799.08,0.4543189342,0.0000831548,0.0005384215,0.0003965572,0,0.0000616541,0.0028596874,0.0000351465
40,2015-03-22,46346.85,0.4919277209,0.0000869086,0.0006910489,0.0005031301,0,0.0000941684,0.0016748351,0.0000556841
41,2015-03-15,43045.79,0.4882972084,0.0000666342,0.0007460719,0.0005351697,0,0.0000935718,0.0014862579,0.0000391402
42,2015-03-08,40507.36,0.4734968725,0.0000619729,0.0006593136,0.0004738425,0,0.0000349842,0.0014825249,0.0000624578
43,2015-03-01,55595.74,0.4424133106,0.0000289185,0.0006711485,0.0004722669,0,0.000027676,0.0022267356,0.0000712695
44,2015-02-22,45675.05,0.4734968725,0.0000663335,0.0006722012,0.0004840347,0,0.0000478532,0.0017110487,0.0000592967
45,2015-02-15,41567.62,0.4697239289,0.0000582523,0.0007453462,0.000532195,0,0.0000433809,0.0014666655,0.0000873417
46,2015-02-08,51253.97,0.4424133106,0.0000888982,0.0007552927,0.0005481111,0,0.0000596796,0.0019088129,0.0000641071
47,2015-02-01,70873.6,0.4424133106,0.0000266402,0.000684943,0.000481127,0,0.000059527,0.0029275874,0.0000704174
48,2015-01-25,45147.5,0.4697239289,0.0001298145,0.0007545648,0.0005596815,0,0.0000413901,0.0016203393,0.0000644566
49,2015-01-18,44511.28,0.5096925317,0.0000472021,0.0008701069,0.00061515,0,0.0000401924,0.0015395782,0.0000533162
50,2015-01-11,41195.08,0.5335705285,0.0000679682,0.0006002149,0.0004347742,0,0.0000440927,0.0015444567,0.0000499194
51,2015-01-04,40873.28,0.5268586824,0.0000925855,0.0006861458,0.0005014173,0,0.0001239612,0.0013809039,0.0000195958
0,2015-12-27,386100.49,0.4424133106,0.0030985448,0.0036249089,0.0034192162,0,0.0127612757,0.0013352174,0.0001169801
1,2015-12-20,331377.53,0.477239989,0.0020729347,0.0035001586,0.0030304246,0,0.0110092769,0.0010108163,0.0000404714
2,2015-12-13,417772.47,0.4301783128,0.0039487989,0.0029023788,0.0031718025,0.0000245242,0.0141856527,0.0015141541,0.0001083022
3,2015-12-06,357636.82,0.4734968725,0.0023847097,0.002762994,0.002613095,4.9121344E-6,0.0123673162,0.0011590831,0.0000714384
4,2015-11-29,333280.79,0.4424133106,0.0036196345,0.0024648522,0.0027729189,0.0000442446,0.0109446749,0.0014102812,0.0001208792
5,2015-11-22,356414.57,0.4464171325,0.0033846228,0.0027599862,0.0029060963,0,0.0117928174,0.0014513873,0.0001967888
6,2015-11-15,339860.68,0.4955316351,0.0023385528,0.0025114093,0.0024254954,0,0.0115371403,0.0013884667,0.0001790458
7,2015-11-08,334041.6,0.4919277209,0.0022602347,0.002660934,0.0025069624,0.000044589,0.010951317,0.0016831145,0.000191716
8,2015-11-01,419088.74,0.4424133106,0.0045235794,0.0029438873,0.0033700403,0.0000148995,0.0126900855,0.0030718919,0.000099267
9,2015-10-25,358478.08,0.4809539749,0.0043486632,0.0023750528,0.0029251074,0,0.0103585061,0.0031511687,0.0001195166
10,2015-10-18,349072.48,0.4809539749,0.0040927574,0.0027519431,0.0031097404,0,0.0100057956,0.0029136856,0.0001143571
11,2015-10-11,433874.46,0.4260219031,0.0078608544,0.0030704573,0.0044444273,0,0.0111901302,0.0044378554,0.0002354815
12,2015-10-04,418682.26,0.4301783128,0.0077655414,0.0011107836,0.0030645195,0,0.0116189063,0.0045221356,0.000253039
13,2015-09-27,370321.17,0.4734968725,0.0043836677,0.0015329674,0.0023542175,5.0390158E-6,0.0114585395,0.0030178598,0.000267318
14,2015-09-20,516432.6,0.4175849904,0.0091278875,0.0025145401,0.0044396918,0.00011107,0.0151036345,0.0040348585,0.00052978
15,2015-09-13,417232.18,0.4734968725,0.0051759954,0.0034525128,0.0039144106,0.0000252673,0.0121512062,0.0030478285,0.0002807174
16,2015-09-06,472136.53,0.4342949455,0.0077594515,0.0037162902,0.0048627529,0.0000960088,0.0132393702,0.0035926491,0.0003577886
17,2015-08-30,382972.72,0.5026619532,0.0024645705,0.0035156303,0.0031582149,0.0000555909,0.0120543367,0.002188023,0.0004060101
18,2015-08-23,379054.29,0.4919277209,0.0020757911,0.0033962074,0.0029594163,0,0.0119954347,0.00225551,0.0003730357
19,2015-08-16,465213.81,0.4809539749,0.0024708758,0.0033615191,0.0030519884,0,0.0158162947,0.0020492552,0.0005594328
20,2015-08-09,503791.72,0.4503853629,0.0037642154,0.0034175279,0.0034767207,0.0001509238,0.0167873461,0.0022953,0.0016682882
21,2015-08-02,405898.44,0.5026619532,0.0020472302,0.003142444,0.002777739,0.0000753107,0.0133901229,0.0020450792,0.0013795954
22,2015-07-26,437377.75,0.477239989,0.0021128626,0.0033649421,0.0029487408,0,0.0146381033,0.0021513645,0.0002779967
23,2015-07-19,557212.99,0.4342949455,0.0028273032,0.0033638735,0.0031587876,0,0.0194244211,0.0023342097,0.0007780508
24,2015-07-12,407204.88,0.4991095273,0.0021449357,0.0034326531,0.0030050012,0,0.0135416272,0.0018523224,0.0003405981
25,2015-07-05,562462.33,0.4503853629,0.0034649927,0.0037796471,0.0036355658,0.0000448608,0.0190050844,0.0026673652,0.0003331745
26,2015-06-28,435210.71,0.4955316351,0.0022893531,0.0038849629,0.0033671497,0.0002435838,0.0144639648,0.0018399026,0.000320616
27,2015-06-21,554763.76,0.4424133106,0.0033185806,0.0041368534,0.0038403217,0.0000843549,0.019562891,0.0014757515,0.0002663758
28,2015-06-14,465804.78,0.4846394999,0.0021969323,0.0036253689,0.0031571961,0.0001287407,0.0168454018,0.0008643369,0.0001852298
29,2015-06-07,551009.05,0.4424133106,0.0037226705,0.0037997507,0.0037245259,9.8786221E-6,0.0198325252,0.0010943469,0.0002900414
30,2015-05-31,454702,0.4846394999,0.0019564275,0.0030216842,0.0026668924,0.0000542134,0.0166953901,0.0009542409,0.0002052892
31,2015-05-24,623212.04,0.4301783128,0.0039527942,0.0025271027,0.0029142174,0.0000393689,0.0233849978,0.0013319736,0.0004950002
